----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00128.cbf | 43     | 15            | 22852           | 1.61  | 2.39                   | 3.04                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00129.cbf | 38     | 8             | 26289           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00130.cbf | 29     | 10            | 26092           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00131.cbf | 25     | 8             | 26972           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00132.cbf | 27     | 10            | 21180           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00133.cbf | 21     | 5             | 23966           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00134.cbf | 30     | 8             | 17355           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00135.cbf | 35     | 10            | 27240           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00136.cbf | 1138   | 1069          | 901589          | 2.22  | 3.54                   | 3.05                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00137.cbf | 138    | 110           | 91901           | 1.61  | 3.32                   | 3.83                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00138.cbf | 37     | 13            | 26762           | 1.61  | 37.95                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00139.cbf | 38     | 15            | 27468           | 1.61  | 24.01                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00140.cbf | 670    | 611           | 550291          | 2.59  | 2.92                   | 3.23                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00141.cbf | 597    | 547           | 474835          | 2.26  | 3.64                   | 3.23                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00142.cbf | 336    | 301           | 245006          | 1.62  | 3.73                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00143.cbf | 79     | 57            | 50193           | 1.61  | 4.15                   | 3.83                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00144.cbf | 23     | 9             | 38958           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00145.cbf | 31     | 9             | 24652           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00146.cbf | 36     | 11            | 25459           | 1.64  | 34.75                  | 3.50                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00147.cbf | 32     | 11            | 28749           | 1.63  | 37.42                  | 3.50                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00148.cbf | 32     | 11            | 23452           | 1.62  | 3.05                   | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00149.cbf | 32     | 10            | 20679           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00150.cbf | 34     | 8             | 34249           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00151.cbf | 36     | 11            | 32529           | 1.64  | 34.56                  | 3.50                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00152.cbf | 35     | 12            | 36809           | 1.55  | 38.74                  | 3.33                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00153.cbf | 29     | 8             | 23072           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00154.cbf | 42     | 28            | 31478           | 2.14  | 3.77                   | 3.87                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00155.cbf | 24     | 3             | 14906           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00156.cbf | 266    | 229           | 221429          | 1.63  | 2.62                   | 2.91                   | 0        | 0.00             |
