----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00093.cbf | 75     | 52            | 34851           | 1.58  | 3.41                   | 3.15                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00094.cbf | 286    | 248           | 243617          | 1.86  | 2.35                   | 2.71                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00095.cbf | 260    | 227           | 205673          | 1.58  | 2.31                   | 2.70                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00096.cbf | 128    | 100           | 69982           | 1.48  | 3.13                   | 2.96                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00097.cbf | 47     | 25            | 17468           | 1.57  | 4.00                   | 3.72                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00098.cbf | 60     | 42            | 22151           | 1.57  | 2.89                   | 3.14                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00099.cbf | 78     | 58            | 36955           | 1.61  | 3.72                   | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00100.cbf | 20     | 6             | 2984            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00101.cbf | 23     | 3             | 2157            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00102.cbf | 35     | 15            | 9037            | 2.88  | 2.88                   | 2.59                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00103.cbf | 26     | 7             | 3437            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00104.cbf | 18     | 3             | 2616            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00105.cbf | 23     | 5             | 3319            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00106.cbf | 24     | 5             | 5309            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00107.cbf | 80     | 57            | 41979           | 1.64  | 3.09                   | 2.92                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00108.cbf | 27     | 6             | 3657            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00109.cbf | 197    | 172           | 119848          | 3.38  | 3.38                   | 3.25                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00110.cbf | 52     | 31            | 18893           | 1.63  | 3.41                   | 3.00                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00111.cbf | 20     | 5             | 3151            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00112.cbf | 19     | 2             | 842             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00113.cbf | 22     | 4             | 1853            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00114.cbf | 23     | 3             | 1875            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00115.cbf | 31     | 12            | 9990            | 4.12  | 4.12                   | 3.42                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00116.cbf | 114    | 92            | 62767           | 1.56  | 2.66                   | 3.13                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00117.cbf | 37     | 15            | 5243            | 1.56  | 2.21                   | 3.35                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00118.cbf | 27     | 6             | 3085            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00119.cbf | 22     | 4             | 2069            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00120.cbf | 22     | 3             | 2907            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00121.cbf | 350    | 307           | 213973          | 1.56  | 2.85                   | 3.11                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00122.cbf | 31     | 13            | 6401            | 1.56  | 2.53                   | 3.35                   | 0        | 0.00             |
